Actual,Forecast
58637.99999999999,58665.86
56621.99999999999,56627.957
53031.0,53547.484
50636.0,50616.383
49031.00000000001,48464.074
45916.0,46570.434
42615.0,43437.47
40797.0,40705.223
39710.0,39738.688
39653.0,39272.43
39940.0,39955.16
40150.0,40754.547
40118.0,41758.145
42527.0,42062.734
45692.0,46103.625
48850.0,48770.18
51154.0,50958.496
52989.0,52085.348
52251.0,53308.45
50179.00000000001,51302.36
48754.99999999999,48863.316
48303.99999999999,48695.293
49500.00000000001,49728.582
53629.0,51858.83
54771.0,55595.395
53541.0,53668.938
51031.0,51373.625
49191.0,49181.26
48901.00000000001,47176.92
45818.0,46443.04
43482.0,43027.23
42073.0,41930.27
41762.0,41343.66
42418.0,42514.113
44304.0,44415.266
49079.0,48976.86
58551.0,56897.094
64034.00000000001,64912.887
66862.0,66698.695
67900.0,67842.96
68605.0,69542.484
68732.0,69660.14
67640.0,68910.53
67655.0,67469.76
66426.0,67248.11
65622.0,65895.53
65503.00000000001,65626.555
69159.0,66338.77
69023.0,69599.55
67743.0,66582.13
64174.0,63799.816
60677.0,60214.152
56763.0,56799.812
52314.99999999999,52871.645
50162.0,49149.27
47907.0,48354.016
47481.0,46968.055
47902.99999999999,47953.953
49637.0,49419.586
53216.99999999999,54168.887
60869.99999999999,60016.895
65217.99999999999,66835.79
67020.0,67785.35
67262.0,68095.86
67538.0,68923.086
68368.0,68458.97
67134.0,68399.664
66681.0,66540.22
66296.0,66320.35
65639.0,66708.06
65385.0,66626.414
69143.0,66526.74
69664.0,69660.11
68174.0,67081.4
64927.00000000001,63949.516
61276.0,60878.664
57891.00000000001,57288.78
53534.00000000001,54136.406
50408.0,50328.31
48271.0,48455.652
46647.99999999999,47198.13
47138.00000000001,45999.53
49102.0,48294.06
53683.99999999999,53190.543
62641.99999999999,60654.047
67641.0,68262.81
69282.0,69434.31
68706.0,69707.45
68566.0,70320.734
68747.0,69654.77
68284.0,68876.98
67460.0,67991.03
66805.0,67149.016
66637.0,67256.15
67400.0,68064.08
71054.0,68931.22
71215.0,70902.95
69421.0,68003.445
65577.0,65010.59
61932.0,61221.734
57952.0,57728.65
53487.0,53944.074
50127.0,50452.645
48271.0,48307.496
47313.0,47700.586
47859.0,47345.46
49676.0,49433.883
53405.0,54366.254
61627.0,60361.793
66399.0,67358.19
68173.0,68494.05
68118.0,68802.95
68504.0,69538.695
69238.0,69349.17
68601.0,69182.24
68174.0,68060.71
67144.0,67684.1
66524.0,66994.56
66426.0,67056.67
69220.0,67333.695
69307.0,69577.914
67976.0,67163.66
64110.99999999999,64462.58
60630.0,60442.043
57081.0,57150.715
52972.0,53452.445
49767.0,50012.992
47956.0,47798.574
47139.0,47145.78
47921.0,47089.61
49676.0,49388.824
53732.00000000001,53406.824
61041.00000000001,60218.26
66269.0,66535.89
68369.0,68394.445
68941.0,69046.664
69577.0,70027.48
69522.0,70193.47
68344.0,69299.55
67211.0,67709.32
65829.0,66735.26
65051.0,65972.305
65385.0,66320.164
68027.0,67227.21
67732.0,68746.6
65849.0,65576.3
62211.0,62537.79
59496.0,58618.242
56709.00000000001,55803.13
52335.0,52764.613
48881.0,49233.23
46319.0,46951.164
45037.0,45110.914
44823.0,44537.52
45011.0,44987.938
45934.0,46247.215
47942.00000000001,49063.258
51084.0,52167.734
55259.99999999999,55018.562
58665.0,58395.812
60572.00000000001,60294.844
60770.00000000001,60898.785
59669.0,60350.633
58008.0,58766.27
56021.00000000001,56841.703
55611.00000000001,54943.223
57063.99999999999,56168.57
61257.0,58736.17
61225.0,62157.07
58962.0,58866.766
55050.0,56063.547
51815.0,52725.734
50154.0,49518.633
46300.00000000001,47502.22
42849.0,43516.047
40319.0,41035.645
39206.0,38878.902
39281.0,38813.99
39743.0,39448.777
40054.0,40283.586
40708.0,41171.723
42570.0,43324.79
45704.0,45910.547
49018.0,48755.996
52018.0,51111.2
54658.0,53019.875
53869.0,54738.098
51398.0,52476.863
50066.99999999999,49451.95
50147.00000000001,49455.36
51927.0,50986.84
57232.0,53539.8
57989.00000000001,58207.04
56549.0,55682.883
53801.0,53609.59
52033.00000000001,51576.863
51697.0,49679.816
47982.0,48746.918
44839.0,44760.94
43536.0,42892.406
42696.0,42723.57
43107.0,43196.293
44599.0,44846.92
49383.0,48793.73
58705.0,57803.305
64576.00000000001,65928.29
66912.0,67636.34
67305.0,68226.14
68158.0,69523.53
68895.0,69718.88
68851.0,69314.984
68239.0,68732.47
67412.0,67730.336
67179.0,66928.65
67398.0,67516.19
70262.0,68623.93
69957.0,70780.84
68564.0,67916.914
65195.0,65181.9
61518.99999999999,61549.617
57905.0,57754.24
53153.0,54087.434
49500.00000000001,49857.457
47318.00000000001,47412.523
46224.0,46387.734
46764.0,46232.094
48507.00000000001,47990.35
52645.0,52533.703
61160.0,60080.777
66658.0,67491.24
69015.0,68937.95
69537.0,69603.734
70789.0,70952.13
71818.0,71509.02
70375.0,71515.695
70088.0,69730.2
69452.0,69564.305
68963.0,69401.06
68842.0,69690.2
72222.0,70179.66
72188.0,72503.766
70126.0,69624.98
66254.0,66050.984
62149.0,62379.09
58785.0,58246.766
54295.0,54947.918
50373.0,50946.707
49052.0,48343.88
48685.0,48553.453
48884.0,49399.383
50754.0,50220.01
54093.0,55542.04
62081.0,61280.21
67849.0,67948.305
69484.0,69809.62
69269.0,69871.55
69321.0,70511.76
69876.0,70307.88
69362.0,69896.54
68747.0,68889.13
67886.0,68234.914
67876.0,67811.89
68404.0,68784.17
71452.0,69682.3
71353.0,71312.61
69462.0,68557.57
65564.0,65549.2
61869.99999999999,61701.28
58613.00000000001,58144.223
54439.0,54904.336
50954.0,51307.766
49314.0,48921.477
48396.0,48548.668
48835.00000000001,48400.867
50435.99999999999,50187.895
53993.0,54414.61
61742.0,60483.36
67484.0,67643.36
69158.0,69629.97
69519.0,69558.57
70417.0,70675.67
70936.0,71174.86
70490.0,70618.55
69412.0,69827.086
68111.0,68863.02
68038.0,68112.2
68755.0,69263.89
71797.0,70299.25
71741.0,71809.16
69996.0,69050.18
66595.0,66180.44
62988.0,62630.242
59894.99999999999,58925.203
55373.99999999999,55849.883
52335.0,51945.945
50658.99999999999,50351.496
49963.0,49917.227
50736.0,50411.297
52430.99999999999,52811.355
55846.0,57215.996
62994.99999999999,62615.992
68763.0,68561.35
70542.0,70684.15
70648.0,70784.89
70659.0,71476.16
70564.0,71346.47
69343.0,70368.01
68346.0,68730.836
66822.0,67952.02
66324.0,66926.79
67222.0,67665.445
70794.0,69182.055
70684.0,71274.055
68809.0,68092.195
65402.0,65198.63
61522.0,61863.965
58567.0,57908.67
54363.00000000001,55079.117
50406.0,51236.7
47947.0,48365.098
47581.99999999999,46698.594
47195.00000000001,47789.793
47366.00000000001,47381.543
47073.99999999999,48787.87
48804.99999999999,49395.06
53544.99999999999,53027.5
59827.00000000001,58348.918
61238.99999999999,62963.758
61556.00000000001,61786.97
62443.0,61637.17
60816.0,62966.867
59272.0,59805.727
58266.0,58133.562
58687.99999999999,58326.785
60022.0,60377.8
64309.0,61699.105
64136.0,64795.234
62003.0,61644.023
58491.99999999999,58984.27
56091.0,55819.117
54268.0,53297.113
50756.99999999999,50938.613
46373.0,47625.57
43824.0,43957.12
42447.0,42396.75
42875.0,41729.758
42688.0,43509.92
42784.0,42806.4
42964.0,44139.168
44415.0,45563.15
47696.00000000001,47557.26
51036.0,50975.297
53061.0,53306.99
55161.99999999999,53883.42
54762.0,55486.594
52253.0,53802.01
51191.0,50338.133
51185.0,50972.582
53716.00000000001,52220.87
57830.0,55863.543
58564.99999999999,58493.38
57264.0,56439.07
54088.0,54853.082
52081.0,52001.566
52195.0,50089.89
49006.0,49618.465
46732.0,45897.89
45385.0,44790.96
45080.0,44245.406
46064.0,45679.53
48081.00000000001,48259.55
52403.0,52606.35
61883.0,59662.273
69200.0,68002.14
71380.0,70935.016
70715.0,71279.414
71718.0,72086.195
72970.0,73012.46
73644.0,72953.48
73811.0,72875.01
73243.0,72866.336
73195.0,72397.7
73389.0,72949.43
75281.0,73756.7
74152.0,74808.76
72882.0,71918.46
68358.0,69549.88
64267.0,64730.023
61024.99999999999,60853.418
56683.0,57298.176
53152.0,53304.965
51362.99999999999,50839.78
50820.0,50461.75
51467.0,51365.164
53159.0,53274.96
56553.0,57685.43
64249.99999999999,64079.92
71698.0,70673.695
73870.0,73270.87
74033.0,73269.63
74766.0,74230.88
75520.0,75099.086
74552.0,74823.07
73878.0,73582.04
73130.0,73285.734
72795.0,73297.414
73146.0,73962.56
74948.0,74657.516
73510.0,75038.89
72078.0,71482.61
67596.0,69102.43
64408.0,64126.457
61145.0,61030.496
56111.0,57193.133
53261.0,52933.527
51693.0,51263.777
50891.0,50987.785
51107.0,51342.996
52449.0,52403.473
55430.0,56605.332
62928.99999999999,62179.285
69048.0,68985.3
70733.0,71071.914
70945.0,70909.32
72164.0,71851.336
73631.0,72762.82
73817.0,73044.734
73365.0,72769.04
72501.0,72407.195
72073.0,71977.54
72479.0,72375.664
74499.0,73254.43
73585.0,74194.8
71889.0,71373.62
68056.0,68814.73
64699.00000000001,64862.246
61878.99999999999,61486.97
57782.0,58334.414
54748.00000000001,54402.04
53048.0,52310.4
52036.0,51694.88
52664.0,51832.594
53823.00000000001,54041.33
56949.99999999999,56987.887
64486.99999999999,63062.195
70532.0,70541.92
72188.0,72441.78
72161.0,72049.695
72715.0,72994.836
73241.0,73356.94
72441.0,72762.7
71998.0,71678.95
71719.0,71713.94
71258.0,72287.1
70691.0,72498.37
72925.0,72133.86
72333.0,73734.805
70785.0,70860.18
